ScanID,TargetSubnet,IPAddress,Hostname,HostStatus,MACAddress,ResponseTime,OSDetected,Port,Protocol,Service,PortState,Product,Version,Banner
SCAN-471170,192.168.29.1/24,192.168.29.1,reliance.reliance,ONLINE,f0:ed:b8:87:ec:a0,0.58ms,Linux/Unix,53,tcp,DNS,OPEN,Unknown,Unknown,
SCAN-471170,192.168.29.1/24,192.168.29.1,reliance.reliance,ONLINE,f0:ed:b8:87:ec:a0,0.58ms,Linux/Unix,80,tcp,HTTP,OPEN,Unknown,Unknown,
SCAN-471170,192.168.29.1/24,192.168.29.1,reliance.reliance,ONLINE,f0:ed:b8:87:ec:a0,0.58ms,Linux/Unix,443,tcp,HTTPS,OPEN,Unknown,Unknown,
SCAN-471170,192.168.29.1/24,192.168.29.1,reliance.reliance,ONLINE,f0:ed:b8:87:ec:a0,0.58ms,Linux/Unix,1900,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-471170,192.168.29.1/24,192.168.29.1,reliance.reliance,ONLINE,f0:ed:b8:87:ec:a0,0.58ms,Linux/Unix,7443,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-471170,192.168.29.1/24,192.168.29.1,reliance.reliance,ONLINE,f0:ed:b8:87:ec:a0,0.58ms,Linux/Unix,8080,tcp,HTTP-Proxy,OPEN,JCOW414,JUICEJFV-1.3.32,"HTTP/1.1 503 Service Unavailable
Content-Length: 19
Content-Type: text/html
Connection: close
Server: JCOW414/JUICEJFV-1.3.32

Service Unavailable"
SCAN-471170,192.168.29.1/24,192.168.29.1,reliance.reliance,ONLINE,f0:ed:b8:87:ec:a0,0.58ms,Linux/Unix,8443,tcp,HTTPS-Alt,OPEN,Unknown,Unknown,
SCAN-471170,192.168.29.1/24,192.168.29.121,Unknown,ONLINE,9a:1b:8c:0b:d0:35,158.0ms,Linux/Unix,,,,,,,
SCAN-471170,192.168.29.1/24,192.168.29.187,Unknown,ONLINE,b2:10:85:c1:60:15,388.0ms,Linux/Unix,,,,,,,
SCAN-471170,192.168.29.1/24,192.168.29.192,Unknown,ONLINE,96:9e:84:9d:bb:30,0ms,Unknown,,,,,,,
SCAN-471170,192.168.29.1/24,192.168.29.97,shinjan,ONLINE,Unknown,0.02ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
