ScanID,TargetSubnet,IPAddress,Hostname,HostStatus,MACAddress,ResponseTime,OSDetected,Port,Protocol,Service,PortState,Product,Version,Banner
SCAN-A6817F,127.0.0.1/24,127.0.0.1,localhost,ONLINE,Unknown,0.03ms,Linux/Unix,631,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.1,localhost,ONLINE,Unknown,0.03ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.1,localhost,ONLINE,Unknown,0.03ms,Linux/Unix,5432,tcp,PostgreSQL,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.10,localhost,ONLINE,Unknown,0.02ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.100,localhost,ONLINE,Unknown,0.02ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.101,localhost,ONLINE,Unknown,0.03ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.102,localhost,ONLINE,Unknown,0.05ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.103,localhost,ONLINE,Unknown,0.01ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.104,localhost,ONLINE,Unknown,0.02ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.105,localhost,ONLINE,Unknown,0.01ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.106,localhost,ONLINE,Unknown,0.01ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.107,localhost,ONLINE,Unknown,0.01ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.108,localhost,ONLINE,Unknown,0.02ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.109,localhost,ONLINE,Unknown,0.02ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.11,localhost,ONLINE,Unknown,0.02ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.110,localhost,ONLINE,Unknown,0.02ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.111,localhost,ONLINE,Unknown,0.01ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.112,localhost,ONLINE,Unknown,0.01ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.113,localhost,ONLINE,Unknown,0.02ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.114,localhost,ONLINE,Unknown,0.02ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.115,localhost,ONLINE,Unknown,0.02ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.116,localhost,ONLINE,Unknown,0.01ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.117,localhost,ONLINE,Unknown,0.01ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.118,localhost,ONLINE,Unknown,0.01ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.119,localhost,ONLINE,Unknown,0.02ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.12,localhost,ONLINE,Unknown,0.02ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.120,localhost,ONLINE,Unknown,0.01ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
